ts,R01_bid.curr.mth,R01_target.7sec
2016-07-01 11:29:00,85400,85700
2016-07-01 11:29:00,85400,85700
2016-07-01 11:29:00,85400,85700
2016-07-01 11:29:00,85500,85700
2016-07-01 11:29:00,85500,85700
2016-07-01 11:29:00,85600,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85700
2016-07-01 11:29:00,85700,85800
2016-07-01 11:29:00,85700,85800
2016-07-01 11:29:00,85700,85800
2016-07-01 11:29:00,85700,85900
2016-07-01 11:29:00,85700,85900
2016-07-01 11:29:00,85700,86000
2016-07-01 11:29:00,85700,86000
2016-07-01 11:29:00,85800,86000
2016-07-01 11:29:00,85800,86100
2016-07-01 11:29:00,85800,86100
2016-07-01 11:29:00,85900,86200
2016-07-01 11:29:00,85900,86300
2016-07-01 11:29:00,86000,86300
2016-07-01 11:29:00,86000,86300
2016-07-01 11:29:00,86000,86400
2016-07-01 11:29:00,86100,86500
2016-07-01 11:29:00,86100,86500
2016-07-01 11:29:00,86200,86600
2016-07-01 11:29:00,86300,86600
2016-07-01 11:29:00,86300,86600
2016-07-01 11:29:00,86300,86700
2016-07-01 11:29:00,86400,86800
2016-07-01 11:29:00,86500,86900
2016-07-01 11:29:00,86500,86900
2016-07-01 11:29:00,86600,87000
2016-07-01 11:29:00,86600,87100
2016-07-01 11:29:00,86600,87100
2016-07-01 11:29:00,86700,87200
2016-07-01 11:29:00,86800,87200
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85400
2016-08-01 11:29:00,85400,85500
2016-08-01 11:29:00,85400,85500
2016-08-01 11:29:00,85400,85600
2016-08-01 11:29:00,85400,85600
2016-08-01 11:29:00,85400,85700
2016-08-01 11:29:00,85400,85700
2016-08-01 11:29:00,85400,85700
2016-08-01 11:29:00,85500,85700
2016-08-01 11:29:00,85500,85700
2016-08-01 11:29:00,85600,85700
2016-08-01 11:29:00,85600,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
2016-08-01 11:29:00,85700,85700
